count,ingredient
76,salt
60,powder
55,oil
51,water
45,pepper
39,cumin
37,garlic
34,flour
34,sugar
33,ginger
33,chili
29,green
29,leaves
29,coriander
28,seeds
28,turmeric
28,onion
27,cardamom
25,peeled
25,cloves
23,black
23,paste
23,cilantro
21,cinnamon
21,red
20,chicken
19,medium
19,vegetable
19,rice
19,yogurt
19,milk
18,diced
18,masala
17,seed
17,onions
17,ghee
17,pinch
17,garam
16,juice
16,butter
16,tomato
15,whole
15,plain
15,chilies
15,tomatoes
15,cayenne
14,lemon
14,curry
13,small
13,crushed
13,pods
11,cream
11,potatoes
10,yellow
10,mint
10,mustard
10,brown
9,pieces
9,clove
9,baking
9,white
8,dal
8,basmati
8,bay
8,inch
8,powdered
8,paprika
7,saffron
7,allpurpose
7,sauce
7,kg
7,cooked
7,sticks
6,rose
6,hot
6,olive
6,frozen
6,frying
6,almonds
6,peas
6,vinegar
6,soda
5,lentils
5,flakes
5,soaked
5,split
5,coconut
5,light
5,peppercorns
5,indian
5,boneless
5,unsalted
5,slices
5,plus
5,raw
5,gram
5,boiled
5,gingerroot
5,dough
4,stock
4,granulated
4,thighs
4,store
4,sunflower
4,sev
4,extra
4,thai
4,fenugreek
4,urad
4,beaten
4,canola
4,lime
4,skinless
4,egg
4,potato
4,coarsely
4,dash
4,cubes
4,ice
4,soy
4,leaf
4,toasted
4,sweet
4,chickpeas
4,deep
4,mango
4,half
4,melted
4,cashews
4,part
3,spring
3,ripe
3,recommended
3,slivered
3,chutney
3,warm
3,drumsticks
3,cans
3,available
3,removed
3,best
3,spinach
3,packed
3,cheese
3,nuts
3,hindi
3,pistachios
3,known
3,pulp
3,roughly
3,inches
3,like
3,baby
3,besan
3,virgin
3,jalapeno
3,fry
3,serrano
3,stick
3,quartered
3,use
3,preferably
3,breast
3,quart
3,peanut
3,work
3,peppers
3,natural
3,clarified
3,tamarind
3,piece
3,fennel
3,drained
3,honey
3,roasted
3,double
3,serving
3,aka
3,rolling
3,cm
2,size
2,skinned
2,hing
2,broken
2,less
2,needed
2,halfandhalf
2,canned
2,gingergarlic
2,would
2,margarine
2,washed
2,rinsed
2,mashed
2,thawed
2,substitute
2,liter
2,orange
2,dark
2,hulled
2,sriracha
2,huy
2,peanuts
2,pc
2,cornstarch
2,coarse
2,strawberry
2,yeast
2,yoghurt
2,active
2,fong
2,bread
2,thread
2,kulfi
2,beef
2,noodles
2,pista
2,glass
2,boiling
2,puree
2,broth
2,falooda
2,homemade
2,lamb
2,sesame
2,bought
2,beans
2,chickpea
2,buttermilk
2,thick
2,halves
2,pea
2,chick
2,stores
2,asafoetida
2,meat
2,carrot
2,blanched
2,semolina
2,make
2,moong
2,sifted
2,serve
2,evaporated
2,wheat
2,garnishing
2,almond
2,bunch
2,maida
2,used
2,paneer
2,heavy
2,idaho
2,stem
2,cardamoms
2,allspice
2,ilaichi
2,divided
2,fat
2,madras
1,chinese
1,mild
1,smallsizeddiced
1,shallots
1,takmaria
1,bicarbonate
1,full
1,prawns
1,puried
1,brush
1,chapati
1,toover
1,garbanzo
1,rooafzah
1,griddle
1,skim
1,parboiled
1,eggplant
1,fine
1,desired
1,chat
1,lean
1,longgrain
1,florets
1,amount
1,reduce
1,skimmed
1,ketchup
1,semi
1,glasses
1,seviyan
1,vermicelli
1,pistachio
1,cucumber
1,banana
1,unpeeled
1,mediumsizedchopped
1,refined
1,required
1,cold
1,raisin
1,golden
1,usli
1,nylon
1,poha
1,shredded
1,flattened
1,carrots
1,stalk
1,shortening
1,aaloobukharay
1,shaping
1,dice
1,worked
1,sieve
1,food
1,discarding
1,pinches
1,podina
1,dhaniya
1,patta
1,pumpkin
1,flesh
1,tez
1,bari
1,dalchini
1,zeera
1,crackedcoarsely
1,mirch
1,kali
1,apples
1,cored
1,cider
1,mutton
1,atleast
1,chhoti
1,hour
1,chunks
1,lehsan
