ingredient,count,cuisine
salt,84,Mexican
pepper,60,Mexican
onion,52,Mexican
garlic,52,Mexican
oil,48,Mexican
cloves,39,Mexican
black,38,Mexican
juice,34,Mexican
cilantro,31,Mexican
lime,31,Mexican
chicken,29,Mexican
water,27,Mexican
tomatoes,26,Mexican
olive,22,Mexican
white,21,Mexican
corn,20,Mexican
diced,20,Mexican
sugar,20,Mexican
peeled,19,Mexican
oregano,19,Mexican
red,18,Mexican
cheese,17,Mexican
sauce,16,Mexican
cumin,16,Mexican
whole,16,Mexican
serving,15,Mexican
leaves,15,Mexican
chili,14,Mexican
tortillas,14,Mexican
powder,14,Mexican
vinegar,13,Mexican
seeds,13,Mexican
green,12,Mexican
broth,12,Mexican
chilies,12,Mexican
canola,12,Mexican
cinnamon,12,Mexican
flour,12,Mexican
tortilla,12,Mexican
mexican,11,Mexican
bunch,11,Mexican
limes,11,Mexican
pieces,11,Mexican
clove,11,Mexican
pork,11,Mexican
jalapeno,11,Mexican
chiles,10,Mexican
medium,10,Mexican
roasted,10,Mexican
cooked,10,Mexican
sprigs,10,Mexican
shredded,9,Mexican
ancho,9,Mexican
plus,9,Mexican
vegetable,9,Mexican
butter,9,Mexican
seed,9,Mexican
onions,9,Mexican
beef,8,Mexican
chile,8,Mexican
peppers,8,Mexican
zest,8,Mexican
serrano,8,Mexican
small,8,Mexican
toasted,8,Mexican
avocado,8,Mexican
wine,8,Mexican
tomato,8,Mexican
frying,7,Mexican
eggs,7,Mexican
boneless,7,Mexican
harina,7,Mexican
beans,7,Mexican
hot,7,Mexican
wedge,7,Mexican
salsa,7,Mexican
milk,7,Mexican
cayenne,6,Mexican
guajillo,6,Mexican
stemmed,6,Mexican
baking,6,Mexican
fish,6,Mexican
drained,6,Mexican
masa,6,Mexican
kg,6,Mexican
mayonnaise,6,Mexican
roughly,6,Mexican
de,6,Mexican
cream,6,Mexican
jack,6,Mexican
granulated,6,Mexican
lemon,6,Mexican
lard,6,Mexican
pound,6,Mexican
halved,5,Mexican
slices,5,Mexican
queso,5,Mexican
bouillon,5,Mexican
fresco,5,Mexican
vanilla,5,Mexican
beer,5,Mexican
chipotle,5,Mexican
mustard,5,Mexican
wedges,5,Mexican
chunks,5,Mexican
meat,5,Mexican
thick,5,Mexican
removed,5,Mexican
rice,5,Mexican
paprika,4,Mexican
quartered,4,Mexican
strips,4,Mexican
tomatillo,4,Mexican
arbol,4,Mexican
stick,4,Mexican
epazote,4,Mexican
divided,4,Mexican
adobo,4,Mexican
peppercorns,4,Mexican
fat,4,Mexican
bell,4,Mexican
monterey,4,Mexican
habanero,4,Mexican
coarse,4,Mexican
leaf,4,Mexican
cabbage,4,Mexican
roast,4,Mexican
pinch,4,Mexican
oranges,4,Mexican
kosher,4,Mexican
warm,4,Mexican
chocolate,4,Mexican
egg,4,Mexican
sesame,4,Mexican
sour,4,Mexican
sweet,3,Mexican
smoked,3,Mexican
poblano,3,Mexican
