ingredient,count,cuisine
salt,84,mexican
pepper,60,mexican
onion,52,mexican
garlic,52,mexican
oil,48,mexican
cloves,39,mexican
black,38,mexican
juice,34,mexican
cilantro,31,mexican
lime,31,mexican
chicken,29,mexican
water,27,mexican
tomatoes,26,mexican
olive,22,mexican
white,21,mexican
corn,20,mexican
diced,20,mexican
sugar,20,mexican
peeled,19,mexican
oregano,19,mexican
red,18,mexican
cheese,17,mexican
sauce,16,mexican
cumin,16,mexican
whole,16,mexican
serving,15,mexican
leaves,15,mexican
chili,14,mexican
tortillas,14,mexican
powder,14,mexican
vinegar,13,mexican
seeds,13,mexican
green,12,mexican
broth,12,mexican
chilies,12,mexican
canola,12,mexican
cinnamon,12,mexican
flour,12,mexican
tortilla,12,mexican
mexican,11,mexican
bunch,11,mexican
limes,11,mexican
pieces,11,mexican
clove,11,mexican
pork,11,mexican
jalapeno,11,mexican
chiles,10,mexican
medium,10,mexican
roasted,10,mexican
cooked,10,mexican
sprigs,10,mexican
shredded,9,mexican
ancho,9,mexican
plus,9,mexican
vegetable,9,mexican
butter,9,mexican
seed,9,mexican
onions,9,mexican
beef,8,mexican
chile,8,mexican
peppers,8,mexican
zest,8,mexican
serrano,8,mexican
small,8,mexican
toasted,8,mexican
avocado,8,mexican
wine,8,mexican
tomato,8,mexican
frying,7,mexican
eggs,7,mexican
boneless,7,mexican
harina,7,mexican
beans,7,mexican
hot,7,mexican
wedge,7,mexican
salsa,7,mexican
milk,7,mexican
cayenne,6,mexican
guajillo,6,mexican
stemmed,6,mexican
baking,6,mexican
fish,6,mexican
drained,6,mexican
masa,6,mexican
kg,6,mexican
mayonnaise,6,mexican
roughly,6,mexican
de,6,mexican
cream,6,mexican
jack,6,mexican
granulated,6,mexican
lemon,6,mexican
lard,6,mexican
pound,6,mexican
halved,5,mexican
slices,5,mexican
queso,5,mexican
bouillon,5,mexican
fresco,5,mexican
vanilla,5,mexican
beer,5,mexican
chipotle,5,mexican
mustard,5,mexican
wedges,5,mexican
chunks,5,mexican
meat,5,mexican
thick,5,mexican
removed,5,mexican
rice,5,mexican
paprika,4,mexican
quartered,4,mexican
strips,4,mexican
tomatillo,4,mexican
arbol,4,mexican
stick,4,mexican
epazote,4,mexican
divided,4,mexican
adobo,4,mexican
peppercorns,4,mexican
fat,4,mexican
bell,4,mexican
monterey,4,mexican
habanero,4,mexican
coarse,4,mexican
leaf,4,mexican
cabbage,4,mexican
roast,4,mexican
pinch,4,mexican
oranges,4,mexican
kosher,4,mexican
warm,4,mexican
chocolate,4,mexican
egg,4,mexican
sesame,4,mexican
sour,4,mexican
sweet,3,mexican
smoked,3,mexican
poblano,3,mexican
skinless,3,mexican
banana,3,mexican
pounds,3,mexican
seasoning,3,mexican
coriander,3,mexican
jalapenos,3,mexican
maggi,3,mexican
charred,3,mexican
cans,3,mexican
tabasco,3,mexican
quarters,3,mexican
substitute,3,mexican
parsley,3,mexican
softened,3,mexican
