instruction_sentence,arousal,valence,cuisine
" make the batter: whisk the flour, baking powder, garlic, cayenne, mustard,oregano, 1 teaspoons salt, and pepper until well blended",4.445063444842449,6.846892352654652,Mexican
 stir in the beer until there are no lumps,7.67,5.0,Mexican
 (batter may be made several hours ahead and refrigerated),4.288052353475518,5.8961890909090915,Mexican
" trim the fish of all blood lines, skin, and bones",4.9985492227979265,4.76,Mexican
 cut into pieces the size and shape of your index finger,4.450023724227847,5.074344376637244,Mexican
 sprinkle with a few drops of lime juice and a little salt,4.227658548784136,6.142034253915295,Mexican
" (if not using immediately, wrap and refrigerate)",4.26,5.0,Mexican
" pour the oil into a deep, wide pan to a depth of 2 inches and heat over medium",5.160058055152395,4.828,Mexican
high heat to 350 degrees,6.08286496350365,5.64963696369637,Mexican
" i use a thermometer, or you can drop a bit of batter into the oil and it should rise up quickly surrounded by little bubbles",4.556564672199977,4.821552573234099,Mexican
 pat the fish dry with paper towels,3.3745334938863256,5.194636185168767,Mexican
 check the thickness of the batter by dipping in one piece of the fish,3.5192423966859843,5.244963640516565,Mexican
 the batter should be the consistency of medium,3.244660746003553,5.043889163780307,Mexican
"thick pancake batter, coating the fish easily but dripping very little",4.141444650235076,6.9698721928264495,Mexican
 add a little beer if the batter seems too thick,3.9326868686868686,4.454587155963303,Mexican
 add the fish to the batter,3.9569674059833346,4.922346312841712,Mexican
" using tongs or chopsticks, swish each piece to make sure it is thoroughly coated, then lift out of the batter, let it drip once, and lay the fish gently into the hot oil",4.303312970874836,5.571750468052751,Mexican
 cook a few pieces at a time until they float and the batter is set but still very light in color,4.058376952064636,5.525857727324662,Mexican
" if a piece sticks to the bottom, leave it alone and it will release itself",3.893678335511675,5.092544412520991,Mexican
 remove the fish to a rack to drain,4.743733577620878,4.350064713806493,Mexican
 reserve the frying oil,4.207481617647058,5.20667731629393,Mexican
" (the fish can be prepared ahead to this point, cooled on a rack, and refrigerated uncovered",3.384521085346561,6.3500757146170335,Mexican
 cool the oil and reserve),3.8181557377049185,5.476923076923077,Mexican
" when you are ready to serve, reheat the oil to 350",4.0701,5.220976253298153,Mexican
