instruction_term,count,cuisine
add,163,mexican
heat,125,mexican
minutes,123,mexican
water,84,mexican
salt,81,mexican
cook,68,mexican
oil,65,mexican
place,58,mexican
large,56,mexican
pan,55,mexican
serve,49,mexican
cover,48,mexican
pepper,48,mexican
meat,48,mexican
garlic,47,mexican
sauce,45,mexican
mixture,43,mexican
beans,43,mexican
skillet,42,mexican
chicken,42,mexican
remove,40,mexican
stir,38,mexican
hot,38,mexican
onions,38,mexican
pot,36,mexican
set,36,mexican
bowl,35,mexican
remaining,34,mexican
degrees,33,mexican
medium,33,mexican
oven,32,mexican
season,32,mexican
cheese,32,mexican
simmer,31,mexican
let,30,mexican
onion,30,mexican
mix,30,mexican
cilantro,30,mexican
blender,30,mexican
chiles,30,mexican
juice,29,mexican
pour,29,mexican
transfer,28,mexican
lime,28,mexican
top,27,mexican
baking,26,mexican
bring,26,mexican
salsa,26,mexican
tomatoes,26,mexican
keep,26,mexican
tortillas,26,mexican
sugar,25,mexican
cool,25,mexican
cooking,24,mexican
combine,24,mexican
aside,24,mexican
ingredients,24,mexican
food,23,mexican
processor,23,mexican
boil,23,mexican
batter,23,mexican
hours,23,mexican
tortilla,23,mexican
spoon,22,mexican
broth,22,mexican
drain,22,mexican
make,22,mexican
liquid,21,mexican
chile,21,mexican
fish,21,mexican
paper,21,mexican
using,21,mexican
pork,21,mexican
puree,20,mexican
seeds,20,mexican
roast,20,mexican
little,20,mexican
stirring,20,mexican
put,19,mexican
garnish,19,mexican
smooth,18,mexican
sides,18,mexican
pieces,18,mexican
half,18,mexican
preheat,18,mexican
soft,18,mexican
side,18,mexican
dough,17,mexican
high,17,mexican
cup,17,mexican
cups,17,mexican
use,17,mexican
tamales,17,mexican
one,17,mexican
reduce,17,mexican
continue,16,mexican
tender,16,mexican
well,16,mexican
low,16,mexican
bake,16,mexican
taste,16,mexican
brown,16,mexican
warm,15,mexican
flour,15,mexican
like,15,mexican
f,15,mexican
cooked,15,mexican
blend,15,mexican
sprinkle,15,mexican
sheet,15,mexican
cinnamon,15,mexican
saucepan,15,mexican
least,14,mexican
minute,14,mexican
olive,14,mexican
thick,14,mexican
cut,14,mexican
mediumhigh,14,mexican
rack,14,mexican
turn,14,mexican
golden,14,mexican
foil,14,mexican
note,14,mexican
paste,14,mexican
tomato,14,mexican
wrap,13,mexican
