count,ingredient
84,salt
60,pepper
52,onion
52,garlic
48,oil
39,cloves
38,black
34,juice
31,cilantro
31,lime
29,chicken
27,water
26,tomatoes
22,olive
21,white
20,corn
20,diced
20,sugar
19,peeled
19,oregano
18,red
17,cheese
16,sauce
16,cumin
16,whole
15,serving
15,leaves
14,chili
14,tortillas
14,powder
13,vinegar
13,seeds
12,green
12,broth
12,chilies
12,canola
12,cinnamon
12,flour
12,tortilla
11,mexican
11,bunch
11,limes
11,pieces
11,clove
11,pork
11,jalapeno
10,chiles
10,medium
10,roasted
10,cooked
10,sprigs
9,shredded
9,ancho
9,plus
9,vegetable
9,butter
9,seed
9,onions
8,beef
8,chile
8,peppers
8,zest
8,serrano
8,small
8,toasted
8,avocado
8,wine
8,tomato
7,frying
7,eggs
7,boneless
7,harina
7,beans
7,hot
7,wedge
7,salsa
7,milk
6,cayenne
6,guajillo
6,stemmed
6,baking
6,fish
6,drained
6,masa
6,kg
6,mayonnaise
6,roughly
6,de
6,cream
6,jack
6,granulated
6,lemon
6,lard
6,pound
5,halved
5,slices
5,queso
5,bouillon
5,fresco
5,vanilla
5,beer
5,chipotle
5,mustard
5,wedges
5,chunks
5,meat
5,thick
5,removed
5,rice
4,paprika
4,quartered
4,strips
4,tomatillo
4,arbol
4,stick
4,epazote
4,divided
4,adobo
4,peppercorns
4,fat
4,bell
4,monterey
4,habanero
4,coarse
4,leaf
4,cabbage
4,roast
4,pinch
4,oranges
4,kosher
4,warm
4,chocolate
4,egg
4,sesame
4,sour
3,sweet
3,smoked
3,poblano
3,skinless
3,banana
3,pounds
3,seasoning
3,coriander
3,jalapenos
3,maggi
3,charred
3,cans
3,tabasco
3,quarters
3,substitute
3,parsley
3,softened
3,extract
3,blanched
3,preferably
3,torn
3,raisins
3,like
3,dijon
3,thighs
3,inch
3,rinsed
3,tomatillos
3,rough
3,fine
3,avocados
3,pitted
3,sea
3,allpurpose
3,yellow
3,cider
3,warmed
3,snapper
3,cod
3,goat
3,juiced
3,bay
2,mennonite
2,celery
2,head
2,tostadas
2,unsalted
2,crumbled
2,low
2,sodium
2,almond
2,husks
2,flat
2,maiz
2,serranos
2,shoulder
2,gallo
2,machaca
2,dash
2,salami
2,hominy
2,canned
2,carrots
2,crushed
2,worcestershire
2,dashes
2,flakes
2,accompany
2,hind
2,paste
2,quarter
2,deveined
2,unpeeled
2,inches
2,bonein
2,pico
2,pecans
2,grilled
2,pumpkin
2,membranes
2,marjoram
2,rolls
2,baguette
2,thin
2,used
2,three
2,well
2,cold
2,coarsely
2,tamales
2,orange
2,seville
2,necessary
2,rehydrated
2,grounded
2,coffee
2,approximately
2,lettuce
2,seasoned
2,minutes
2,soaked
2,refried
2,strawberries
2,meaty
2,deep
2,squeezed
2,leek
2,plantain
2,allspice
2,fillets
2,burrito
2,chuck
2,granule
2,bacon
2,cornstarch
2,drizzling
2,recipe
2,cubes
2,handful
2,italian
2,chorizo
2,halibut
2,cubed
2,scallion
2,pickled
2,pinto
2,sticks
2,ripe
2,sausage
2,soft
2,size
2,mushrooms
2,pureed
2,crema
1,follows
1,trimmed
