review_sentence,arousal,valence,cuisine
this recipe made it into book#234156,4.3276346604215465,6.316666666666666,Mexican
"
fabulous",5.15,7.84,Mexican
" if i could give this 10 stars, i would",4.57,7.73,Mexican
" some comments from my family: ""this is delicious"" ",5.74,5.62,Mexican
" ""i love it"" ",6.44,8.72,Mexican
 and a two thumbs up because someone was too busy eating to talk,4.733826019536999,6.00641232277833,Mexican
" in my opinion, i did not think the recipe was at all difficult or time",4.309920428553726,5.692672698122067,Mexican
consuming to put together,5.12,5.04,Mexican
 i recommend putting together the sauce and prepping the topping ingredients before starting on the fish,3.8363028970491015,6.168270886806206,Mexican
 don't skimp on any of the suggested toppings ,4.722867298578199,5.784487951807229,Mexican
 the combination is what really makes this whole recipe stand out,4.364743750242031,5.921759568168192,Mexican
 the sauce is excellent,4.4905405405405405,7.063535620052772,Mexican
love it,6.44,8.72,Mexican
" i used plain greek yogurt (low fat) along with the mayo, jarred chopped garlic & fresh cilantro",3.5220909403570566,5.552513113798119,Mexican
" for 4 people, i halved the fish & batter amts",3.9355882352941176,4.297383720930233,Mexican
 but left the sauce amt,4.111290322580645,5.483987915407855,Mexican
 it was perfect,4.71,7.19,Mexican
 we tried it with both corn and flour tortillas and everyone here voted for the flour tortillas (the corn tasted too dry and was too crumbly for us),5.392153846153845,5.4870114006514665,Mexican
" cutting the cod into ""index finger size pcs"" is a great recommendation",3.9398736200105304,5.568393926247288,Mexican
" it seems too small at first, but once dipped in the batter and fried they are plenty big",4.533849328000691,5.248130877524901,Mexican
 i used killians irish red beer and loved it,5.281887933853413,7.11894596543361,Mexican
 i didn't have mexican oregano so i used italian and it was fine,3.935918046692208,5.745951601950737,Mexican
 i used canola oil for frying to make it as healthy as possible,4.002707238922794,6.065096645764843,Mexican
 this recipe will be made again and again,3.706884030748485,6.373778188951183,Mexican
 so yummy,4.48,7.52,Mexican
 thank you,3.33,7.77,Mexican
 ~made for aussie/nz swap~  /  /  lifeisgood  5 this dish is one of the best things i have ever eaten in my life,4.771281112883707,6.609825406449179,Mexican
" 10 stars, easy",4.48,7.1,Mexican
" when i reheated the scant leftovers in the toaster oven this morning, they were so incredibly crispy and delicious",4.026318631628942,6.533346918698616,Mexican
" the batter is magic, and works great on zucchini as well",3.8809635859302976,5.965885326110372,Mexican
 the secret sauce compliments the other flavors perfectly,4.81404142878995,6.2211413991268625,Mexican
 thank you so much for sharing this recipe,3.918,7.339036544850497,Mexican
  /  /  jane galt37  3 i made these for my son's birthday party since i had invited over a group of huge fish lovers and we were doing a mexican theme,5.454613380882627,6.611064826420106,Mexican
  i prepped these the night before and re,3.57,6.68,Mexican
fried the next night so they were hot,3.845860655737705,5.946511627906975,Mexican
"  i was afraid no one would touch them since everyone had had so many appetizers, but i couldn't believe how quickly all of them disappeared",4.814215143279588,5.364548977293767,Mexican
  thank you so much for this recipe ,3.918,7.339036544850497,Mexican
  /  /  mona sen  3 i made these today,4.2,5.96,Mexican
" since the recipe said it could be done ahead of time, i figured i'd get a jump on dinner",4.3533199336614485,6.31649372213881,Mexican
 i couldn't help myself,4.29,6.95,Mexican
i had to try one and  it was lunch time,4.453492199151328,6.052482988589474,Mexican
 i will agree with everyone else,3.1858454106280187,7.021602209944751,Mexican
10 stars,5.83,7.1,Mexican
" monday is our try "" something new "" day",5.3988268281740694,6.619096571771329,Mexican
" my family always cringes when i announce a new dish, but usually loves the outcome",5.351811517405736,7.13844750571092,Mexican
 we have never tried fish tacos,5.65328227571116,5.736536312849163,Mexican
 i can honestly say i can't wait for them to come home for dinner tonight,4.584082287234373,6.043965089916906,Mexican
 these were fantastic,6.4,8.36,Mexican
 i used my own cayenne pepper i grew last summer and had dried,4.1291828944495705,6.053932096625928,Mexican
 i wish i would have added a bit more of it because mine were not very hot,4.632360727609974,5.3401934797329975,Mexican
 next time i will double all of the spices in the batter,3.7453066978490264,5.112433745648735,Mexican
 maybe even add some peppers to the secret sauce,3.9162499258723638,6.1341078202995,Mexican
 i used tilapia because i had plenty of it,4.880020408163265,5.904592592592593,Mexican
 i did cut the fish a bit too big but that will be a easy fix at dinner time after the second frying,4.228002850284905,5.828496985006373,Mexican
 overall fantastic,6.4,8.36,Mexican
 i already know what my family will say at the end of dinner tonight,4.081353704032105,6.609416325832516,Mexican
" that is the code for "" way to go mom """,4.668650386856619,6.393751586776563,Mexican
"  /  /  aweebitsilly  3 just like a big fish, this recipe is a ""keeper""",4.549888892808014,6.841960727692752,Mexican
 i live near the bay in s,4.37164624638004,7.088465452856839,Mexican
 texas and we fish a lot,4.706298701298701,5.887613293051359,Mexican
" in the summer months, we have a constant stream of visitors every weekend who want to fish, and of course we have to cook the day's catch when we get back",4.718827625190072,6.0743357683996715,Mexican
 this is one way to cook fish that everyone that has visited loves,4.530799864213414,6.342458960608228,Mexican
"(we usually catch speckled trout which is a more delicate fish, but i have no problems with it",4.869684767433316,5.009945235487404,Mexican
) i love it because it's easy to make most of it ahead of time so i spend little time when we come back tired and hungry,4.393221921114967,5.913430849355087,Mexican
" just heat the oil, batter the fish and done",5.148957087790266,4.911472629340173,Mexican
<br/>we have lots of seafood restaurants here and i have tried the fish tacos at all of them,5.417784577099494,6.154530235349764,Mexican
 this is by far the best i have eaten,5.161833976833977,6.78508591065292,Mexican
 the 'secret sauce' is so refreshing and pairs perfectly,5.362200624783062,6.689778073679539,Mexican
 thank you cookiedog for posting,3.614599589322382,6.5009999999999994,Mexican
"the original, and how we made it when i bartended in a mexican bar",4.548103792415169,6.11775641025641,Mexican
"  though, you should omit the lemon juice part, it must be lime juice",4.16893314961926,6.4824043024338325,Mexican
"  /  /  tjw2725  2 very nice  /  /  tekeve9518  1 this is the classic margarita and its still one of the best, though the amounts are a little off",4.031054866406422,5.944185422843961,Mexican
" the recipie as shown makes only 3 ounces, which is tiny",4.6388621444201315,5.7539655172413795,Mexican
 you will have to double all the amounts to fill even a small margarita glass,3.9384195720164348,5.715847836963019,Mexican
  /  /  kamikazee  1 i had my first margarita in mexico city over 30 years ago and that recipe is obviously what they used,4.528344203437531,6.1044012013767,Mexican
" i abhor those bar margarita in which they add simple syrup, and other foreign matter",4.440818452526286,6.385808049994828,Mexican
 i make them by this recipe every time,4.241020869677586,6.140921985815603,Mexican
"  the best margaritas are super simple, just like this one",3.8944995901030444,6.9993948103862085,Mexican
" great as is, and you can make large batches of it for a party",4.246533085020623,6.904509498865275,Mexican
just multiply the ingredients to meet whatever serving you need,4.502087912087912,5.850207612456748,Mexican
"this recipe took me right back to mexico city, where i first had menudo",4.740977730082186,6.149898229984443,Mexican
" it's a bit spicy, so feel free to scale back on the peppers if you're sensitive to spicy foods",4.548218908578227,6.222487771790088,Mexican
"  the only thing that jumps out and grabs you is the pepper heat , yes happy hippi you pre warned me lol, next time i'll use store bought chili powder  and a lot more garlic, thanks for the base recipe  /  /  toadkiller  1 this recipe is great and simple",4.702226816366979,6.045580165839294,Mexican
