review_term,count,cuisine
recipe,152,mexican
made,102,mexican
make,69,mexican
used,69,mexican
thanks,53,mexican
great,47,mexican
time,44,mexican
like,42,mexican
really,37,mexican
one,35,mexican
little,33,mexican
also,32,mexican
sauce,32,mexican
good,31,mexican
easy,30,mexican
much,29,mexican
tortillas,29,mexican
try,28,mexican
delicious,27,mexican
would,27,mexican
next,27,mexican
didnt,26,mexican
salsa,26,mexican
added,25,mexican
chicken,25,mexican
use,25,mexican
water,24,mexican
flavor,23,mexican
soup,23,mexican
love,23,mexican
loved,22,mexican
dont,22,mexican
since,22,mexican
mexican,22,mexican
instead,21,mexican
thank,21,mexican
add,21,mexican
im,20,mexican
sharing,20,mexican
fresh,19,mexican
family,18,mexican
put,18,mexican
beans,18,mexican
beef,18,mexican
way,18,mexican
well,17,mexican
spicy,16,mexican
bit,16,mexican
rice,16,mexican
ive,16,mexican
first,16,mexican
think,15,mexican
see,15,mexican
never,15,mexican
pepper,15,mexican
taste,15,mexican
garlic,14,mexican
dish,14,mexican
making,14,mexican
nice,14,mexican
enjoyed,14,mexican
best,14,mexican
fish,14,mexican
using,14,mexican
posting,13,mexican
everyone,13,mexican
flavors,13,mexican
juice,13,mexican
top,13,mexican
two,12,mexican
better,12,mexican
could,12,mexican
thing,12,mexican
big,12,mexican
lime,12,mexican
pan,12,mexican
flour,12,mexican
wonderful,12,mexican
fantastic,12,mexican
cooked,12,mexican
perfect,12,mexican
tried,12,mexican
eat,11,mexican
enough,11,mexican
cheese,11,mexican
recipes,11,mexican
tortilla,11,mexican
whole,11,mexican
guacamole,11,mexican
hot,11,mexican
served,11,mexican
tag,11,mexican
probably,11,mexican
day,11,mexican
tacos,11,mexican
say,11,mexican
onion,10,mexican
meat,10,mexican
drink,10,mexican
wanted,10,mexican
chorizo,10,mexican
cup,10,mexican
simple,10,mexican
cups,10,mexican
sure,10,mexican
found,10,mexican
new,10,mexican
know,10,mexican
keeper,10,mexican
awesome,10,mexican
still,10,mexican
corn,10,mexican
dinner,10,mexican
even,10,mexican
amazing,10,mexican
less,9,mexican
night,9,mexican
end,9,mexican
ingredients,9,mexican
change,9,mexican
get,9,mexican
heat,9,mexican
liked,9,mexican
tomatoes,9,mexican
ever,9,mexican
food,9,mexican
exactly,9,mexican
followed,9,mexican
another,9,mexican
cook,9,mexican
refreshing,8,mexican
every,8,mexican
cant,8,mexican
always,8,mexican
pretty,8,mexican
sugar,8,mexican
lot,8,mexican
watermelon,8,mexican
give,8,mexican
makes,8,mexican
together,8,mexican
orange,8,mexican
definitely,8,mexican
left,8,mexican
tomato,8,mexican
cooking,8,mexican
red,8,mexican
