count,ingredient
46,salt
43,oil
38,olive
38,pepper
34,garlic
21,lemon
20,cloves
20,small
18,onion
18,red
18,tomatoes
17,white
16,paprika
16,parsley
15,chicken
15,green
15,sugar
15,water
14,diced
14,wine
13,extra
13,eggs
13,virgin
11,bell
11,spanish
10,cubes
10,bread
10,juice
10,rice
10,flour
9,sea
9,milk
9,beans
9,sweet
9,butter
9,black
9,peeled
8,saffron
8,pinch
8,chorizo
8,slices
8,sausage
8,medium
8,leaf
7,vinegar
7,potatoes
6,ham
6,stock
6,flat
6,italian
6,cinnamon
6,use
5,pieces
5,cheese
5,broth
5,head
5,needed
5,egg
5,shrimp
5,chunks
5,clove
5,ripe
5,oz
5,bay
4,onions
4,beaten
4,pork
4,kg
4,yolks
4,steak
4,peas
4,lemons
4,thyme
4,inch
4,add
4,toasted
4,powder
4,cumin
4,manchego
4,tomato
4,long
3,halved
3,good
3,prawns
3,flatleaf
3,quartered
3,leaves
3,plum
3,quality
3,thick
3,coarsely
3,allpurpose
3,mussels
3,almonds
3,stick
3,zest
3,margarine
3,flakes
3,chocolate
3,smoked
3,cornstarch
3,rind
3,orange
3,frying
3,bone
3,granulated
3,breadcrumbs
3,per
3,whole
3,sausages
3,inches
3,hot
3,arborio
3,piece
3,fine
3,frozen
3,blanched
3,grams
3,size
3,potato
3,grain
3,uncooked
2,de
2,yeast
2,sherry
2,crustless
2,crushed
2,bowl
2,oregano
2,semisweet
2,pound
2,liqueur
2,used
2,sweeten
2,extract
2,sprig
2,vanilla
2,cooked
2,fish
2,garbanzo
2,zucchini
2,dijon
2,cauliflower
2,oranges
2,liters
2,etc
2,hake
2,granny
2,smith
2,apple
2,rioja
2,fluid
2,lettuce
2,peppers
2,little
2,roughly
2,canned
2,serrano
2,raw
2,cracked
2,skinless
2,chickpeas
2,turmeric
2,best
2,half
2,walnuts
2,mustard
2,serving
2,thighs
2,plus
2,calasparra
2,bomba
2,coarse
2,yellow
2,links
2,torn
2,may
2,rabbit
2,calamari
2,paste
2,type
2,feel
2,clams
2,cooking
2,free
2,pimenton
2,puree
2,crusty
2,roasted
2,greens
2,frito
2,french
2,substitute
2,hardboiled
2,almond
2,vegetable
2,sprigs
2,risotto
2,removed
2,works
1,unsalted
1,lentils
1,dipping
1,sodium
1,low
1,jerez
1,cubed
1,cream
1,tbsp
1,kielbasa
1,heavy
1,cube
1,grapes
1,slightly
1,vinagre
1,breast
1,bigger
1,pudding
1,light
1,mostly
1,dough
1,unbleached
1,mixed
1,lukewarm
1,brandy
1,lightly
1,candied
1,fruit
1,cherries
1,cucumber
1,cored
1,chives
1,cider
1,romaine
1,portuguese
1,wedges
1,linguica
1,parmesan
1,mexican
1,lean
1,bite
1,whites
1,bratwursts
1,washed
1,leche
1,sub
1,goodquality
1,apricot
1,jam
1,glaze
1,boneless
1,tenderloins
1,diagonal
1,skirt
1,strips
1,jarred
1,drumsticks
1,bonein
1,vermouth
1,tend
1,strand
1,tart
1,coriander
1,converted
1,julia
1,suggests
1,uncle
1,bens
1,shell
1,peeledseededjuicedand
1,minutes
1,olives
1,pitted
1,basil
1,capsicum
1,apples
1,thawed
1,melted
1,suggested
1,sifted
1,guava
1,marmalade
1,dulce
1,coating
1,octopus
1,larger
1,boiled
1,diagonally
1,rounds
1,thickness
1,less
1,fillets
1,scallions
1,pastry
1,desired
1,warm
1,brown
1,thread
1,drained
1,piquillo
1,jar
1,spray
1,shredded
1,salad
1,dozen
1,sheet
1,puff
1,approx
1,capers
1,seeds
1,anise
1,dark
1,thirds
1,lengthwise
1,deveined
1,confectioners
1,aniseed
1,active
1,quart
1,crust
1,baguette
1,prosciutto
1,eggplant
1,rustic
1,preferably
1,peasant
1,florets
1,country
1,without
1,crusts
1,pine
1,nuts
1,pasteurized
1,grapeseed
1,new
1,diameter
1,scrubbed
1,seed
1,lover
1,coffee
1,instant
1,sticks
1,extravirgin
1,bacon
1,panko
1,cod
1,evaporated
1,homemade
1,personal
1,kosher
1,according
1,honey
1,mild
1,jasmine
1,peel
1,cold
1,wedge
1,raisins
1,orangeflavored
1,shallot
1,bottle
1,burgundy
1,ice
1,mayonnaise
1,loaf
1,nutmeg
1,chips
1,dissolved
1,chilies
1,like
1,smokey
1,bass
1,crumbled
1,toothpick
1,bunch
1,laurel
1,one
1,chose
1,various
1,kinds
1,mackerel
1,swordfish
1,tuna
1,skate
1,monkfish
1,fl
1,person
1,haddock
1,juicy
1,threads
1,scallops
1,drizzling
1,divided
1,grape
1,self
1,raising
1,aniseflavored
1,baking
1,peppercorns
1,capsicums
1,collard
1,chili
1,using
1,pureed
1,veal
1,cannellini
1,organic
1,picked
1,rosemary
1,cans
1,fabada
1,package
1,ones
1,marrow
1,recipe
1,aubergines
1,called
1,bonelessskinless
1,much
1,easier
1,rolled
1,balls
1,cabbage
1,pasta
1,shells
1,unpeeled
1,rubbing
1,eggplants
1,shortgrain
